gender_main,song_name,artist_id,main_artist,feat_artist,feat_artist2,gender_feat,gender_feat2,same_gender
male,Run To You,3Z02hBLubJxuFJfhacLSDc,bryan adams,,,,,1
male,Da Ya Think I'm Sexy?,2y8Jo9CKhJvtfeKOsYzRdT,rod stewart,,,,,1
male,Sailing,2y8Jo9CKhJvtfeKOsYzRdT,rod stewart,,,,,1
male,Tonight's the Night,2y8Jo9CKhJvtfeKOsYzRdT,rod stewart,,,,,1
male,Bye Bye Bye,6Ff53KvcvAj5U7Z1vojB5o,*nsync,,,,,1
male,Born in the U.S.A.,3eqjTLE0HfPfh78zjh6TqT,bruce springsteen,,,,,1
male,Glory Days,3eqjTLE0HfPfh78zjh6TqT,bruce springsteen,,,,,1
male,Hungry Heart,3eqjTLE0HfPfh78zjh6TqT,bruce springsteen,,,,,1
male,Dancing In the Dark,3eqjTLE0HfPfh78zjh6TqT,bruce springsteen,,,,,1
male,Born to Run,3eqjTLE0HfPfh78zjh6TqT,bruce springsteen,,,,,1
male,Streets of Philadelphia,3eqjTLE0HfPfh78zjh6TqT,bruce springsteen,,,,,1
male,I'm On Fire,3eqjTLE0HfPfh78zjh6TqT,bruce springsteen,,,,,1
male,Superstition,7guDJrEfX3qb6FEbdPA5qi,stevie wonder,,,,,1
male,"Signed, Sealed, Delivered",7guDJrEfX3qb6FEbdPA5qi,stevie wonder,,,,,1
male,Living For The City,7guDJrEfX3qb6FEbdPA5qi,stevie wonder,,,,,1
male,Iris,2sil8z5kiy4r76CRTXxBCA,the goo goo dolls,,,,,1
male,What's Going On,3koiLjNrgRTNbOwViDipeA,marvin gaye,,,,,1
male,I Heard It Through The Grapevine,3koiLjNrgRTNbOwViDipeA,marvin gaye,,,,,1
male,Sexual Healing,3koiLjNrgRTNbOwViDipeA,marvin gaye,,,,,1
male,Hey Ya!,1G9G7WwrXka3Z1r7aIDjI7,outkast,,,,,1
male,Sweet Child O' Mine,3qm84nBOXUEQ2vnTfUTTFC,guns n' roses,,,,,1
male,Paradise City,3qm84nBOXUEQ2vnTfUTTFC,guns n' roses,,,,,1
male,Welcome To The Jungle,3qm84nBOXUEQ2vnTfUTTFC,guns n' roses,,,,,1
male,November Rain,3qm84nBOXUEQ2vnTfUTTFC,guns n' roses,,,,,1
male,Patience,3qm84nBOXUEQ2vnTfUTTFC,guns n' roses,,,,,1
male,Knockin' On Heaven's Door,3qm84nBOXUEQ2vnTfUTTFC,guns n' roses,,,,,1
male,Buffalo Soldier,2QsynagSdAqZj3U9HgDzjD,bob marley & the wailers,,,,,1
male,One Love / People Get Ready,2QsynagSdAqZj3U9HgDzjD,bob marley & the wailers,,,,,1
male,Is This Love,2QsynagSdAqZj3U9HgDzjD,bob marley & the wailers,,,,,1
male,"Get Up, Stand Up",2QsynagSdAqZj3U9HgDzjD,bob marley & the wailers,,,,,1
male,Sex on Fire,2qk9voo8llSGYcZ6xrBzKx,kings of leon,,,,,1
male,Use Somebody,2qk9voo8llSGYcZ6xrBzKx,kings of leon,,,,,1
male,Chasing Cars,3rIZMv9rysU7JkLzEaC5Jp,snow patrol,,,,,1
male,Good Vibrations,3oDbviiivRWhXwIE8hxkVV,the beach boys,,,,,1
male,Kokomo,3oDbviiivRWhXwIE8hxkVV,the beach boys,,,,,1
male,California Girls,3oDbviiivRWhXwIE8hxkVV,the beach boys,,,,,1
male,It's a Long Way to the Top,711MCceyCBcFnzjGY4Q7Un,ac/dc,,,,,1
male,Thunderstruck,711MCceyCBcFnzjGY4Q7Un,ac/dc,,,,,1
male,You Shook Me All Night Long,711MCceyCBcFnzjGY4Q7Un,ac/dc,,,,,1
male,Dirty Deeds Done Dirt Cheap,711MCceyCBcFnzjGY4Q7Un,ac/dc,,,,,1
male,Who Made Who,711MCceyCBcFnzjGY4Q7Un,ac/dc,,,,,1
male,Back In Black,711MCceyCBcFnzjGY4Q7Un,ac/dc,,,,,1
male,Highway to Hell,711MCceyCBcFnzjGY4Q7Un,ac/dc,,,,,1
male,Jailbreak,711MCceyCBcFnzjGY4Q7Un,ac/dc,,,,,1
male,High Voltage,711MCceyCBcFnzjGY4Q7Un,ac/dc,,,,,1
male,Hotel California,0ECwFtbIWEVNwjlrfc6xoL,eagles,,,,,1
male,Desperado,0ECwFtbIWEVNwjlrfc6xoL,eagles,,,,,1
male,Take It Easy,0ECwFtbIWEVNwjlrfc6xoL,eagles,,,,,1
male,Life in the Fast Lane,0ECwFtbIWEVNwjlrfc6xoL,eagles,,,,,1
male,Tequila Sunrise,0ECwFtbIWEVNwjlrfc6xoL,eagles,,,,,1
male,Don't Bring Me Down,7jefIIksOi1EazgRTfW2Pk,electric light orchestra,,,,,1
male,All The Small Things,6FBDaR13swtiWwGhX1WQsP,blink-182,,,,,1
male,Russians,0Ty63ceoRnnJKVEYP0VQpk,sting,,,,,1
male,If You Love Somebody Set Them Free,0Ty63ceoRnnJKVEYP0VQpk,sting,,,,,1
male,Everlong,7jy3rLJdDQY21OgRLCZ9sD,foo fighters,,,,,1
male,Best of You,7jy3rLJdDQY21OgRLCZ9sD,foo fighters,,,,,1
male,Learn to Fly,7jy3rLJdDQY21OgRLCZ9sD,foo fighters,,,,,1
male,Times Like These,7jy3rLJdDQY21OgRLCZ9sD,foo fighters,,,,,1
male,All My Life,7jy3rLJdDQY21OgRLCZ9sD,foo fighters,,,,,1
male,Learning To Fly,4tX2TplrkIP4v05BNC903e,tom petty and the heartbreakers,,,,,1
male,Refugee,4tX2TplrkIP4v05BNC903e,tom petty and the heartbreakers,,,,,1
male,Enter Sandman,2ye2Wgw4gimLv2eAKyk1NB,metallica,,,,,1
male,Nothing Else Matters,2ye2Wgw4gimLv2eAKyk1NB,metallica,,,,,1
male,One,2ye2Wgw4gimLv2eAKyk1NB,metallica,,,,,1
male,Gloria,44NX2ffIYHr6D4n7RaZF7A,van morrison,,,,,1
male,Brown Eyed Girl,44NX2ffIYHr6D4n7RaZF7A,van morrison,,,,,1
male,Moondance,44NX2ffIYHr6D4n7RaZF7A,van morrison,,,,,1
male,Careless Whisper,19ra5tSw0tWufvUp8GotLo,george michael,,,,,1
male,Don't Let the Sun Go Down on Me,"19ra5tSw0tWufvUp8GotLo, 3PhoLpVuITZKcymswpck5b",george michael,elton john,,male,,1
male,Too Funky,19ra5tSw0tWufvUp8GotLo,george michael,,,,,1
male,I Want Your Sex,19ra5tSw0tWufvUp8GotLo,george michael,,,,,1
male,Freedom! '90,19ra5tSw0tWufvUp8GotLo,george michael,,,,,1
male,Faith,19ra5tSw0tWufvUp8GotLo,george michael,,,,,1
male,"Fastlove, Pt. 1",19ra5tSw0tWufvUp8GotLo,george michael,,,,,1
male,Father Figure,19ra5tSw0tWufvUp8GotLo,george michael,,,,,1
male,Amazing,19ra5tSw0tWufvUp8GotLo,george michael,,,,,1
male,Take on Me,2jzc5TC5TVFLXQlBNiIUzE,a-ha,,,,,1
male,I Won't Back Down,2UZMlIwnkgAEDBsw1Rejkn,tom petty,,,,,1
male,Free Fallin',2UZMlIwnkgAEDBsw1Rejkn,tom petty,,,,,1
male,Smells Like Teen Spirit,6olE6TJLqED3rqDCT0FyPh,nirvana,,,,,1
male,Come As You Are,6olE6TJLqED3rqDCT0FyPh,nirvana,,,,,1
male,About A Girl,6olE6TJLqED3rqDCT0FyPh,nirvana,,,,,1
male,Ain't No Sunshine,1ThoqLcyIYvZn7iWbj8fsj,bill withers,,,,,1
male,Give Me the Night,4N8BwYTEC6XqykGvXXlmfv,george benson,,,,,1
male,Smooth,"6GI52t8N5F02MxU0g5U69P, 3aBkeBhwadnWMWoVJ2CxJC",santana,rob thomas,,,,1
male,Angels,2HcwFjNelS49kFbfvMxQYw,robbie williams,,,,,1
male,Let Me Entertain You,2HcwFjNelS49kFbfvMxQYw,robbie williams,,,,,1
male,Come Undone,2HcwFjNelS49kFbfvMxQYw,robbie williams,,,,,1
male,Rock DJ,2HcwFjNelS49kFbfvMxQYw,robbie williams,,,,,1
male,Better Man,2HcwFjNelS49kFbfvMxQYw,robbie williams,,,,,1
male,Loser,3vbKDsSS70ZX9D2OcvbZmS,beck,,,,,1
male,Last Nite,0epOFNiUfyON9EYx7Tpr6V,the strokes,,,,,1
male,"Another Brick in the Wall, Pt. 2",0k17h0D3J5VfsdmQ1iZtE9,pink floyd,,,,,1
male,Comfortably Numb,0k17h0D3J5VfsdmQ1iZtE9,pink floyd,,,,,1
male,Wish You Were Here,0k17h0D3J5VfsdmQ1iZtE9,pink floyd,,,,,1
male,Money,0k17h0D3J5VfsdmQ1iZtE9,pink floyd,,,,,1
male,London Calling,3RGLhK1IP9jnYFH4BRFJBS,the clash,,,,,1
male,Should I Stay or Should I Go,3RGLhK1IP9jnYFH4BRFJBS,the clash,,,,,1
male,Rock the Casbah,3RGLhK1IP9jnYFH4BRFJBS,the clash,,,,,1
male,Bad Moon Rising,3IYUhFvPQItj6xySrBmZkd,creedence clearwater revival,,,,,1
male,Stayin' Alive,1LZEQNv7sE11VDY3SdxQeN,bee gees,,,,,1
male,How Deep Is Your Love,1LZEQNv7sE11VDY3SdxQeN,bee gees,,,,,1
male,Night Fever,1LZEQNv7sE11VDY3SdxQeN,bee gees,,,,,1
male,More Than A Woman,1LZEQNv7sE11VDY3SdxQeN,bee gees,,,,,1
male,The Gambler,4tw2Lmn9tTPUv7Gy7mVPI4,kenny rogers,,,,,1
male,Purple Rain,5a2EaR3hamoenG9rDuVn8j,prince,,,,,1
male,Kiss,5a2EaR3hamoenG9rDuVn8j,prince,,,,,1
male,1999,5a2EaR3hamoenG9rDuVn8j,prince,,,,,1
male,Let's Go Crazy,5a2EaR3hamoenG9rDuVn8j,prince,,,,,1
male,When Doves Cry,5a2EaR3hamoenG9rDuVn8j,prince,,,,,1
male,Cream,5a2EaR3hamoenG9rDuVn8j,prince,,,,,1
male,Little Red Corvette,5a2EaR3hamoenG9rDuVn8j,prince,,,,,1
male,Raspberry Beret,5a2EaR3hamoenG9rDuVn8j,prince,,,,,1
male,Good Riddance,7oPftvlwr6VrsViSDV7fJY,green day,,,,,1
male,American Idiot,7oPftvlwr6VrsViSDV7fJY,green day,,,,,1
male,Longview,7oPftvlwr6VrsViSDV7fJY,green day,,,,,1
male,Gangsta's Paradise,"3y24n3XhZ96wgwRXjvS17T, 2LhsePRtgCo4THVKULQBL7",coolio,l.v.,,male,,1
male,Black Hole Sun,5xUf6j4upBrXZPg6AI4MRK,soundgarden,,,,,1
male,Hurt,6kACVPfCOnqzgfEF5ryl0x,johnny cash,,,,,1
male,Red Red Wine,69MEO1AADKg1IZrq2XLzo5,ub40,,,,,1
male,You Can Call Me Al,2CvCyf1gEVhI0mX6aFXmVI,paul simon,,,,,1
male,The Horses,4t52ndk0OkAxtb4vMDLPhe,daryl braithwaite,,,,,1
male,How You Remind Me,6deZN1bslXzeGvOLaLMOIF,nickelback,,,,,1
male,Like a Stone,2ziB7fzrXBoh1HUPS6sVFn,audioslave,,,,,1
male,Kids,0SwO7SWeDHJijQ3XNS7xEE,mgmt,,,,,1
male,Annie's Song,7EK1bQADBoqbYXnT4Cqv9w,john denver,,,,,1
male,Money For Nothing,0WwSkZ7LtFUFjGjMZBMt6T,dire straits,,,,,1
male,Sultans of Swing,0WwSkZ7LtFUFjGjMZBMt6T,dire straits,,,,,1
male,Battle Scars,"01QTIT5P1pFP3QnnFSdsJf, 5PjekOABtfU2Kwo0AHVmci",lupe fiasco,guy sebastian,,male,,1
male,,22bE4uQ6baNwSHPVcDxLCe,the rolling stones,,,,,1
male,Angie,22bE4uQ6baNwSHPVcDxLCe,the rolling stones,,,,,1
male,Miss You,22bE4uQ6baNwSHPVcDxLCe,the rolling stones,,,,,1
male,Jumpin' Jack Flash,22bE4uQ6baNwSHPVcDxLCe,the rolling stones,,,,,1
male,Brown Sugar,22bE4uQ6baNwSHPVcDxLCe,the rolling stones,,,,,1
male,Emotional Rescue,22bE4uQ6baNwSHPVcDxLCe,the rolling stones,,,,,1
male,You Can't Always Get What You Want,22bE4uQ6baNwSHPVcDxLCe,the rolling stones,,,,,1
male,Start Me Up,22bE4uQ6baNwSHPVcDxLCe,the rolling stones,,,,,1
male,Sympathy For The Devil,22bE4uQ6baNwSHPVcDxLCe,the rolling stones,,,,,1
male,Knockin' On Heaven's Door,74ASZWbe4lXaubB36ztrGX,bob dylan,,,,,1
male,Hurricane,74ASZWbe4lXaubB36ztrGX,bob dylan,,,,,1
male,Subterranean Homesick Blues,74ASZWbe4lXaubB36ztrGX,bob dylan,,,,,1
male,Like a Rolling Stone,74ASZWbe4lXaubB36ztrGX,bob dylan,,,,,1
male,Forget You,5nLYd9ST4Cnwy6NHaCxbj8,ceelo green,,,,,1
male,Walk This Way,3CQIn7N5CuRDP8wEI7FiDA,run-d.m.c.,,,,,1
male,What A Wonderful World,19eLuQmk9aCobbVDHc6eek,louis armstrong,,,,,1
male,Livin' On A Prayer,58lV9VcRSjABbAbfWS6skp,bon jovi,,,,,1
male,You Give Love A Bad Name,58lV9VcRSjABbAbfWS6skp,bon jovi,,,,,1
male,Bad Medicine,58lV9VcRSjABbAbfWS6skp,bon jovi,,,,,1
male,Wanted Dead Or Alive,58lV9VcRSjABbAbfWS6skp,bon jovi,,,,,1
male,Bed Of Roses,58lV9VcRSjABbAbfWS6skp,bon jovi,,,,,1
male,Bitter Sweet Symphony,2cGwlqi3k18jFpUyTrsR84,the verve,,,,,1
male,Dumb Things,0SNWoGaDlrCompmg9rXeNq,paul kelly,,,,,1
male,Before Too Long,0SNWoGaDlrCompmg9rXeNq,paul kelly,,,,,1
male,To Her Door,0SNWoGaDlrCompmg9rXeNq,paul kelly,,,,,1
male,How to Make Gravy,0SNWoGaDlrCompmg9rXeNq,paul kelly,,,,,1
male,My Girl,3RwQ26hR2tJtA8F9p2n7jG,the temptations,,,,,1
male,End Of The Road,6O74knDqdv3XaWtkII7Xjp,boyz ii men,,,,,1
male,Piano Man,6zFYqv1mOsgBRQbae3JJ9e,billy joel,,,,,1
male,We Didn't Start the Fire,6zFYqv1mOsgBRQbae3JJ9e,billy joel,,,,,1
male,Just the Way You Are,6zFYqv1mOsgBRQbae3JJ9e,billy joel,,,,,1
male,Uptown Girl,6zFYqv1mOsgBRQbae3JJ9e,billy joel,,,,,1
male,I Got You,7GaxyUddsPok8BuhxN6OUW,james brown,,,,,1
male,Praise You,4Y7tXHSEejGu1vQ9bwDdXW,fatboy slim,,,,,1
male,Weapon Of Choice,"4Y7tXHSEejGu1vQ9bwDdXW, 5K0rbdBrs2tNXe5LeWMATT",fatboy slim,bootsy collins,,,,1
male,The Rockafeller Skank,4Y7tXHSEejGu1vQ9bwDdXW,fatboy slim,,,,,1
male,Pony,7r8RF1tN2A4CiGEplkp1oP,ginuwine,,,,,1
male,California Love,"1ZwdS5xdxEREPySFridCfh, 3GMoVpWJy4smKuxFuFTwXC, 6DPYiyq5kWVQS4RGwxzPC7",2pac,roger,dr. dre,,male,1
male,Long Train Runnin',39T6qqI0jDtSWWioX8eGJz,the doobie brothers,,,,,1
male,Dancing On The Ceiling,3gMaNLQm7D9MornNILzdSl,lionel richie,,,,,1
male,Hello,3gMaNLQm7D9MornNILzdSl,lionel richie,,,,,1
male,Slice of Heaven,"5bYfbDXaMVCxEt7hOAvEWc, 6GIB5jeCf3U9JJUo2of2bA",dave dobbyn,herbs,,,,1
male,American Pie,1gRNBaI4yn6wCCTvRhGWh8,don mclean,,,,,1
male,Greased Lightnin',"4hKkEHkaqCsyxNxXEsszVH, 34NoGpkDKIwSQG1V6gdhRL",john travolta,jeff conaway,,,,1
male,Song 2,7MhMgCo0Bl0Kukl93PZbYS,blur,,,,,1
male,Girls & Boys,7MhMgCo0Bl0Kukl93PZbYS,blur,,,,,1
male,Kickstart My Heart,0cc6vw3VN8YlIcvr1v7tBL,motley crue,,,,,1
male,Dr. Feelgood,0cc6vw3VN8YlIcvr1v7tBL,motley crue,,,,,1
